fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
parity,0.858,0.92,0.84,0.845,0.935,0.838
eqOpp1,0.984,0.928,0.877,0.853,0.604,0.874
eqOpp0,0.992,0.934,0.986,0.992,0.913,0.949
eqOdd,0.988,0.931,0.931,0.923,0.758,0.911
p-accuracy,0.784,0.707,0.814,0.759,0.8,0.847
auc,0.741,0.763,0.822,0.779,0.872,0.804
bnsp,0.783,0.832,0.758,0.771,0.908,0.695
bpsn,0.78,0.759,0.864,0.817,0.76,0.893
posAEG,0.008,0.036,0.062,0.074,-0.198,0.063
negAEG,-0.004,-0.033,0.007,0.004,-0.044,0.026
