fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
parity,0.822,0.919,0.797,0.805,0.878,0.794
eqOpp1,0.989,0.991,0.906,0.902,0.741,0.793
eqOpp0,0.969,0.91,0.95,0.972,0.972,0.936
eqOdd,0.979,0.951,0.928,0.937,0.857,0.864
p-accuracy,0.781,0.721,0.837,0.794,0.801,0.825
auc,0.76,0.766,0.858,0.789,0.862,0.847
bnsp,0.814,0.843,0.789,0.777,0.879,0.748
bpsn,0.762,0.745,0.867,0.824,0.786,0.883
posAEG,0.006,-0.005,0.047,0.049,-0.129,0.104
negAEG,-0.015,-0.045,0.025,0.014,-0.014,0.032
