metrics,male,female,transgender,white,black,asian,Total
auc,0.827,0.829,0.825,0.741,0.751,0.861,0.899
accuracy,0.755,0.796,0.76,0.619,0.695,0.825,0.875
f1_score,0.478,0.463,0.537,0.551,0.593,0.441,0.48
precision,0.353,0.358,0.439,0.426,0.522,0.319,0.359
recall,0.741,0.654,0.692,0.779,0.687,0.714,0.723
false positive rate,0.242,0.182,0.223,0.45,0.301,0.163,0.112
bnsp_auc,0.91,0.892,0.891,0.926,0.891,0.915,
bpsn_auc,0.818,0.846,0.841,0.707,0.78,0.848,
posAEG,-0.009,0.036,0.015,-0.03,0.018,0.004,
negAEG,-0.066,-0.036,-0.056,-0.17,-0.095,-0.026,
