metrics,male,female,transgender,white,black,asian,Total
auc,0.843,0.849,0.839,0.77,0.774,0.891,0.913
accuracy,0.759,0.789,0.767,0.638,0.703,0.853,0.89
f1_score,0.493,0.477,0.583,0.57,0.613,0.5,0.517
precision,0.362,0.358,0.457,0.443,0.53,0.372,0.399
recall,0.775,0.717,0.808,0.799,0.728,0.762,0.734
false positive rate,0.244,0.2,0.243,0.43,0.309,0.138,0.096
bnsp_auc,0.934,0.924,0.936,0.939,0.922,0.932,
bpsn_auc,0.818,0.841,0.798,0.733,0.775,0.872,
posAEG,-0.022,0.009,-0.037,-0.034,0.003,-0.014,
negAEG,-0.076,-0.054,-0.073,-0.169,-0.107,-0.021,
