fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
parity,0.863,0.916,0.837,0.845,0.917,0.834
eqOpp1,0.994,0.932,0.941,0.923,0.711,0.876
eqOpp0,0.957,0.94,0.964,0.998,0.931,0.942
eqOdd,0.976,0.936,0.952,0.96,0.821,0.909
p-accuracy,0.761,0.707,0.838,0.768,0.771,0.847
auc,0.75,0.756,0.877,0.788,0.865,0.824
bnsp,0.824,0.831,0.812,0.786,0.894,0.719
bpsn,0.737,0.746,0.864,0.803,0.755,0.886
posAEG,-0.003,0.034,0.029,0.039,-0.145,0.062
negAEG,-0.021,-0.03,0.018,0.001,-0.034,0.029
