id,labels,probs,split
31389,0,0.15199791,train
47731,1,0.0018428287,train
44451,0,0.0034782472,train
46078,0,0.0013998309,train
31617,0,0.03566236,train
5645,0,0.017080057,train
8568,1,0.54458827,train
42709,1,0.004678533,train
7876,1,0.07127043,train
3598,0,0.013477871,train
24935,0,0.008369167,train
33853,1,0.94454795,train
21733,1,0.005739831,train
47362,0,0.39767706,train
28829,1,0.980925,train
25330,0,0.0067850873,train
35631,0,0.0058335606,train
22016,1,0.16571936,train
20926,0,0.0008419898,train
10286,0,0.800115,train
7751,0,0.059033185,train
15676,0,0.13220093,train
32407,1,0.12632316,train
20069,0,0.0031094237,train
4229,0,0.079364516,train
26541,0,0.0016523391,train
39997,0,0.090634964,train
43590,0,0.0064204843,train
35925,0,0.007677847,train
6238,0,0.003147321,train
49681,1,0.5283652,train
13344,0,0.0026312284,train
32530,0,0.015473168,train
43671,0,0.009981223,train
22579,0,0.023512239,train
5730,0,0.0035341948,train
41869,0,0.012609291,train
23629,0,0.0016617996,train
35575,0,0.842219,train
2972,1,0.02405938,train
9995,0,0.00090852164,train
17952,1,0.06354639,train
9033,0,0.06623428,train
4258,0,0.00448473,train
29002,1,0.9644875,train
7239,1,0.85710233,train
8796,0,0.009081754,train
42630,0,0.6324962,train
28480,1,0.9929612,train
48345,0,0.0031617861,train
29258,1,0.03867849,train
17571,0,0.0034626897,train
41573,1,0.014363496,train
31197,0,0.022557823,train
45232,0,0.0013715377,train
16637,0,0.01563487,train
38057,0,0.03142066,train
19160,0,0.0038770682,train
16844,1,0.9858035,train
17723,0,0.06333424,train
23152,1,0.8739794,train
10949,1,0.11196272,train
41584,0,0.2257172,train
10511,0,0.015027236,train
37578,1,0.018966012,train
39215,1,0.92786115,train
16562,0,0.015010594,train
27498,0,0.0058467225,train
13180,0,0.2947396,train
37592,1,0.9878641,train
8831,0,0.0016628181,train
5982,0,0.004595364,train
13929,1,0.122819655,train
2962,1,0.9188802,train
24984,0,0.9198695,train
38970,0,0.025816439,train
9968,0,0.0002919142,train
9611,0,0.00097200985,train
7262,0,0.006656358,train
7525,0,0.0014672796,train
45242,0,0.0034776127,train
39933,0,0.001108169,train
31076,0,0.0151178865,train
7485,0,0.039977934,train
21191,1,0.9003642,train
47876,0,0.007564387,train
21103,0,0.0025317157,train
24260,1,0.83250827,train
18556,1,0.029429592,train
11369,0,0.013697585,train
33056,1,0.018418666,train
41861,0,0.10545515,train
15738,1,0.73153704,train
626,0,0.0018443773,train
203,0,0.0030820083,train
24834,0,0.09019106,train
48303,0,0.0062577273,train
41197,0,0.0042616087,train
41441,0,0.033147182,train
12323,1,0.017785003,train
7477,0,0.00043740112,train
10765,0,0.0008282062,train
332,0,0.03111003,train
30123,1,0.04844253,train
48580,0,0.011671637,train
36225,0,0.002815293,train
42778,0,0.013640017,train
49984,0,0.007064093,train
16111,0,0.001966904,train
12930,0,0.05691096,train
40126,0,0.0215285,train
21108,1,0.8343873,train
17873,0,0.3304074,train
2641,0,0.0022896847,train
8972,0,0.013548332,train
49892,0,0.00054744614,train
25459,1,0.18716678,train
2747,0,0.026833415,train
41198,0,0.0027678616,train
36345,0,0.015622325,train
19852,0,0.061068803,train
45937,0,0.029468093,train
26808,0,0.0013194374,train
44400,0,0.0015386516,train
2209,0,0.002818108,train
44975,0,0.007366572,train
19642,0,0.00046803957,train
34342,0,0.013531028,train
39014,0,0.0021161223,train
11831,0,0.0031101778,train
25401,1,0.009253248,train
7662,1,0.19844945,train
40668,1,0.12607197,train
47066,1,0.0029507703,train
43349,1,0.00566847,train
48300,0,0.026539976,train
38577,1,0.34241277,train
33333,0,0.6645416,train
49504,0,0.011410844,train
6542,1,0.90967214,train
2909,0,0.0029587438,train
33824,1,0.40143287,train
12220,0,0.010340286,train
44878,0,0.009970298,train
49728,0,0.0030283735,train
21119,0,0.021110538,train
31607,0,0.1622372,train
29062,1,0.9322751,train
2470,0,0.66756916,train
11567,0,0.0043878364,train
48969,0,0.028613599,train
30218,1,0.009792533,train
10435,1,0.93139344,train
36783,0,0.07812666,train
12211,0,0.002675416,train
13103,0,0.021376522,train
44397,0,0.00953081,train
167,1,0.009348473,train
39753,0,0.017794995,train
43868,0,0.0013056097,train
40277,0,0.009290493,train
610,0,0.035162088,train
46457,0,0.0065810094,train
8067,0,0.0153446365,train
31228,0,0.012108346,train
41622,1,0.0070223743,train
4340,0,0.003212721,train
8804,0,0.0045660445,train
40979,0,0.008161698,train
36204,0,0.006863131,train
2683,0,0.02739237,train
47400,0,0.0019038699,train
6415,1,0.0045393235,train
38820,0,0.2400978,train
43859,0,0.004634643,train
14795,0,0.030857239,train
16266,0,0.0006499667,train
35315,0,0.007820187,train
42844,0,0.0031177076,train
40393,0,0.01318042,train
22796,0,0.0014389614,train
27826,0,0.017224865,train
45585,0,0.0054094824,train
29561,0,0.003855975,train
26657,0,0.9529779,train
12326,0,0.16834143,train
43982,0,0.0042578164,train
48178,0,0.049674332,train
12691,0,0.012585375,train
43712,1,0.88318324,train
16561,0,0.0069768033,train
31178,0,0.0014357542,train
5101,0,0.042877764,train
29799,0,0.09322183,train
45869,0,0.05655774,train
44410,1,0.83223045,train
21796,0,0.05716252,train
1594,0,0.011428942,train
44197,0,0.0012696299,train
2390,0,0.024876226,train
41535,1,0.0044727796,train
10523,0,0.00057234854,train
20321,1,0.9901322,train
33252,0,0.0025409297,train
6905,0,0.0045525255,train
48576,0,0.0052527185,train
11100,0,0.0013787551,train
47209,0,0.008591316,train
62,0,0.009898414,train
32144,0,0.014767192,train
13293,0,0.0006062025,train
19235,0,0.00919933,train
3250,1,0.9928438,train
2277,0,0.68837506,train
33280,1,0.22357404,train
21556,0,0.8684271,train
966,0,0.0036620433,train
34710,0,0.03170487,train
8539,1,0.733879,train
3180,0,0.05382316,train
36122,0,0.0005982048,train
35935,0,0.94629043,train
26011,0,0.03223163,train
4782,1,0.14098223,train
21089,0,0.034938633,train
31204,0,0.0062885373,train
3385,1,0.9899233,train
35393,0,0.08356264,train
34863,0,0.00081701594,train
45733,1,0.0054706805,train
32253,1,0.089865535,train
16476,1,0.030106163,train
14349,1,0.5768653,train
23114,0,0.0029301415,train
20702,1,0.0061883605,train
47764,0,0.005809595,train
13266,0,0.0010731351,train
43596,0,0.001268933,train
38474,0,0.005066571,train
27962,0,0.0067576324,train
4489,1,0.7092637,train
11972,1,0.42470565,train
19730,0,0.0016213207,train
18044,0,0.21119383,train
44340,0,0.002422137,train
21982,0,0.009019905,train
32736,0,0.0021200024,train
32729,0,0.07399143,train
25028,0,0.49468037,train
10149,0,0.0018580961,train
13412,1,0.9881634,train
44995,0,0.0026417596,train
32724,0,0.21169104,train
2718,0,0.06725178,train
21418,0,0.0016816867,train
21301,0,0.0022241233,train
15345,0,0.0401903,train
38852,1,0.0031759057,train
598,0,0.005961894,train
46775,1,0.0065843365,train
36103,0,0.0035168368,train
3171,0,0.08122717,train
41428,1,0.99500114,train
19279,0,0.87530994,train
29129,0,0.010286495,train
26427,0,0.00086478697,train
47412,1,0.9304952,train
29088,0,0.0043086777,train
20872,0,0.043131556,train
1736,0,0.789584,train
46013,1,0.004488453,train
38671,1,0.65892047,train
36816,0,0.008586395,train
10195,0,0.04255318,train
36906,0,0.33063516,train
33296,0,0.0023145734,train
39657,1,0.984696,train
43221,0,0.0012082005,train
17064,0,0.0015155178,train
16715,0,0.0060793376,train
44489,0,0.0032439788,train
9108,1,0.8377678,train
42459,0,0.0026870447,train
40203,0,0.00027743995,train
8845,0,0.008594062,train
6898,0,0.0053663165,train
20104,0,0.0009671191,train
44885,0,0.23173857,train
45138,0,0.0009790177,train
25680,0,0.00091193273,train
46452,0,0.016285794,train
979,0,0.015728611,train
9161,1,0.09094249,train
39511,1,0.9862242,train
29718,0,0.006035436,train
27572,1,0.88733286,train
13225,0,0.0031161888,train
34841,1,0.11530876,train
30579,0,0.00205597,train
14343,0,0.0041645076,train
15800,0,0.0021999374,train
38515,0,0.297801,train
21872,1,0.9140188,train
37985,0,0.018681996,train
41603,0,0.003527206,train
26368,0,0.7574707,train
32730,0,0.011157168,train
47559,0,0.0011396073,train
37464,0,0.14428125,train
42984,1,0.7547504,train
9580,0,0.010754098,train
7133,0,0.0044679726,train
50044,0,0.004276929,train
21804,1,0.20888638,train
40087,1,0.033401616,train
9984,0,0.012739885,train
5468,0,0.0033139768,train
36211,0,0.16615777,train
23176,0,0.0019524624,train
5216,0,0.7154912,train
10411,0,0.0005600501,train
43290,1,0.9624263,train
23798,1,0.9633063,train
31441,0,0.002106825,train
7444,0,0.0070110783,train
39462,0,0.0018037373,train
30619,0,0.007888479,train
33052,0,0.015606333,train
13178,0,0.2133508,train
35864,0,0.0012799609,train
22435,0,0.0033673614,train
20711,0,0.66566133,train
49314,1,0.026288694,train
26022,0,0.0009047463,train
40347,0,0.008296368,train
39810,0,0.010132703,train
15134,0,0.4724878,train
21718,1,0.013256461,train
