metrics,male,female,transgender,white,black,asian,Total
auc,0.849,0.844,0.826,0.754,0.772,0.879,0.916
accuracy,0.751,0.796,0.698,0.583,0.631,0.788,0.885
f1_score,0.489,0.487,0.541,0.553,0.589,0.41,0.513
precision,0.355,0.368,0.39,0.408,0.46,0.281,0.387
recall,0.788,0.72,0.885,0.861,0.817,0.762,0.759
false positive rate,0.256,0.192,0.35,0.536,0.458,0.209,0.104
bnsp_auc,0.932,0.916,0.934,0.95,0.932,0.933,
bpsn_auc,0.831,0.854,0.8,0.704,0.752,0.862,
posAEG,-0.015,0.02,-0.063,-0.054,-0.03,-0.002,
negAEG,-0.077,-0.045,-0.123,-0.218,-0.178,-0.053,
