metrics,male,female,transgender,white,black,asian,Total
auc,0.842,0.838,0.822,0.749,0.766,0.875,0.911
accuracy,0.746,0.794,0.729,0.598,0.662,0.811,0.882
f1_score,0.48,0.479,0.557,0.558,0.598,0.453,0.503
precision,0.348,0.363,0.415,0.416,0.486,0.315,0.38
recall,0.772,0.706,0.846,0.847,0.776,0.81,0.747
false positive rate,0.258,0.193,0.301,0.509,0.392,0.189,0.106
bnsp_auc,0.927,0.91,0.922,0.945,0.922,0.931,
bpsn_auc,0.826,0.849,0.812,0.699,0.759,0.856,
posAEG,-0.013,0.021,-0.05,-0.053,-0.015,-0.032,
negAEG,-0.078,-0.045,-0.098,-0.203,-0.144,-0.042,
