metrics,male,female,transgender,white,black,asian,Total
accuracy,0.748,0.794,0.785,0.647,0.697,0.848,0.87
auc,0.799,0.819,0.789,0.735,0.729,0.871,0.872
bnsp_auc,0.892,0.881,0.858,0.904,0.862,0.888,
bpsn_auc,0.777,0.813,0.81,0.692,0.758,0.855,
f1_score,0.435,0.447,0.533,0.539,0.554,0.455,0.44
false positive rate,0.233,0.179,0.168,0.373,0.249,0.131,0.111
negAEG,-0.062,-0.035,-0.029,-0.133,-0.07,-0.01,
posAEG,0.001,0.011,0.019,-0.026,0.029,-0.004,
precision,0.33,0.35,0.483,0.443,0.531,0.353,0.336
recall,0.641,0.62,0.602,0.691,0.584,0.651,0.642
