metrics,male,female,transgender,white,black,asian,Total
auc,0.891,0.896,0.805,0.801,0.805,0.883,0.947
accuracy,0.806,0.832,0.682,0.62,0.639,0.871,0.917
f1_score,0.556,0.548,0.481,0.576,0.604,0.517,0.606
precision,0.426,0.429,0.358,0.432,0.468,0.405,0.488
recall,0.8,0.757,0.731,0.861,0.854,0.714,0.799
false positive rate,0.193,0.157,0.33,0.484,0.464,0.112,0.073
bnsp_auc,0.954,0.948,0.946,0.967,0.961,0.923,
bpsn_auc,0.887,0.902,0.841,0.772,0.786,0.919,
posAEG,-0.001,0.022,0.034,-0.033,-0.028,0.042,
negAEG,-0.061,-0.043,-0.129,-0.207,-0.197,-0.02,
