metrics,male,female,transgender,white,black,asian,Total
auc,0.837,0.84,0.829,0.754,0.763,0.898,0.904
accuracy,0.725,0.78,0.744,0.577,0.656,0.839,0.876
f1_score,0.469,0.477,0.548,0.553,0.598,0.493,0.487
precision,0.332,0.351,0.426,0.405,0.48,0.354,0.363
recall,0.803,0.746,0.769,0.873,0.793,0.81,0.737
false positive rate,0.289,0.214,0.262,0.549,0.41,0.158,0.112
bnsp_auc,0.933,0.913,0.917,0.953,0.922,0.922,
bpsn_auc,0.797,0.835,0.799,0.646,0.736,0.875,
posAEG,-0.035,-0.005,-0.016,-0.071,-0.029,-0.036,
negAEG,-0.09,-0.052,-0.075,-0.22,-0.15,-0.023,
