fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
parity,0.841,0.94,0.822,0.828,0.89,0.818
eqOpp1,0.956,0.943,0.941,0.93,0.798,0.807
eqOpp0,0.977,0.912,0.956,0.967,0.966,0.936
eqOdd,0.966,0.927,0.949,0.948,0.882,0.871
p-accuracy,0.766,0.713,0.829,0.79,0.754,0.817
auc,0.737,0.759,0.854,0.78,0.852,0.85
bnsp,0.805,0.847,0.782,0.762,0.859,0.735
bpsn,0.737,0.711,0.86,0.815,0.78,0.882
posAEG,0.022,-0.029,0.029,0.035,-0.101,0.097
negAEG,-0.012,-0.044,0.022,0.017,-0.017,0.032
