metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian,Total
auc,0.79,0.776,0.836,0.758,0.854,0.77,0.817
accuracy,0.776,0.729,0.807,0.768,0.79,0.81,0.788
f1_score,0.486,0.5,0.378,0.39,0.735,0.4,0.534
precision,0.605,0.631,0.609,0.609,0.797,0.842,0.687
recall,0.407,0.414,0.275,0.287,0.683,0.262,0.436
false positive rate,0.094,0.118,0.048,0.064,0.13,0.016,0.076
bnsp_auc,0.829,0.831,0.768,0.789,0.888,0.679,
bpsn_auc,0.782,0.778,0.867,0.798,0.764,0.891,
posAEG,0.017,0.017,0.084,0.082,-0.158,0.091,
negAEG,-0.01,-0.027,0.015,0.007,-0.03,0.032,
