id,labels,probs,split
7104596,0,0.028487673,test
7136711,0,0.014174325,test
7130765,0,0.047222417,test
7166362,0,0.049275707,test
7194507,0,0.018061494,test
7140120,0,0.030693445,test
7172661,0,0.042974148,test
7144066,0,0.015705086,test
7168404,0,0.02617704,test
7166372,0,0.015835296,test
7099129,1,0.2882065,test
7103767,0,0.025865445,test
7111312,1,0.10049715,test
7187687,0,0.88237256,test
7136574,0,0.05582655,test
7159817,0,0.12074642,test
7112736,0,0.017976789,test
7105014,0,0.023086935,test
7192683,0,0.033050116,test
7151873,0,0.0135589475,test
7169763,0,0.014841825,test
7181150,0,0.016528286,test
7098158,0,0.022315005,test
7162986,0,0.013346242,test
7191902,0,0.048043326,test
7134221,0,0.051965095,test
7166041,0,0.014096147,test
7159659,1,0.9816227,test
7171281,0,0.028730014,test
7170186,0,0.108008735,test
7138571,0,0.038574547,test
7184002,1,0.91232246,test
7137286,0,0.0862066,test
7167670,0,0.93627465,test
7176355,0,0.02873253,test
7140979,0,0.11078241,test
7104716,0,0.07698623,test
7146839,0,0.43183666,test
7137741,0,0.014268239,test
7115856,0,0.024136363,test
7193187,0,0.038800698,test
7177054,0,0.04325134,test
7186407,0,0.072945856,test
7193319,0,0.8899763,test
7134910,0,0.078077994,test
7181787,0,0.03323122,test
7134142,0,0.019321706,test
7098376,0,0.06809445,test
7148214,0,0.03426352,test
7132727,1,0.9682576,test
7151637,0,0.12988192,test
7130930,0,0.054887116,test
7180585,0,0.057657328,test
7121370,0,0.029063867,test
7165444,1,0.9719063,test
7182347,0,0.0703053,test
7131335,0,0.3763306,test
7110929,0,0.050018962,test
7154867,0,0.06574843,test
7189436,0,0.9249155,test
7141909,0,0.022558302,test
7160271,0,0.02046699,test
7185372,0,0.061584465,test
7103170,1,0.995366,test
7144569,0,0.013536593,test
7175229,0,0.015956223,test
7192883,0,0.046555974,test
7141694,0,0.02003539,test
7143886,0,0.045475338,test
7153167,0,0.02147498,test
7146295,0,0.05770695,test
7164265,0,0.014718355,test
7176405,0,0.07213431,test
7167151,0,0.17716584,test
7191157,0,0.036386903,test
7120448,0,0.018821925,test
7176199,0,0.011815119,test
7142727,0,0.07056294,test
7153599,0,0.03562467,test
7177786,0,0.13674864,test
7109138,0,0.7226059,test
7140523,0,0.020091996,test
7149105,0,0.045070007,test
7140506,0,0.03048983,test
7159999,0,0.014181876,test
7127672,0,0.06100827,test
7105317,0,0.013756455,test
7117495,0,0.022557711,test
7110830,0,0.025921954,test
7152520,1,0.99010545,test
7149230,0,0.12265121,test
7184880,0,0.012302704,test
7194195,0,0.027526358,test
7124695,0,0.031780533,test
7193946,0,0.019240322,test
7147621,0,0.039365713,test
7109322,0,0.029869631,test
7157925,0,0.010371176,test
7179006,0,0.013535382,test
7100826,0,0.057787888,test
7144696,0,0.023770522,test
7163908,0,0.043456934,test
7109577,0,0.70419186,test
7188440,1,0.4522155,test
7128893,0,0.018490927,test
7097619,0,0.06672362,test
7145406,0,0.045400377,test
7125312,1,0.9322156,test
7121991,0,0.008973471,test
7178680,0,0.01706255,test
7128227,0,0.08582216,test
7117903,0,0.0132969525,test
7152291,0,0.9598833,test
7119310,0,0.1555949,test
7149916,0,0.019540377,test
7164527,0,0.03208337,test
7120871,0,0.029319076,test
7183654,0,0.13753192,test
7114975,0,0.90885985,test
7119243,0,0.026709957,test
7188957,0,0.020562034,test
7179098,0,0.010317494,test
7153270,0,0.016884493,test
7138217,0,0.04695809,test
7145120,0,0.9735295,test
7192661,0,0.016689507,test
7141166,0,0.020050908,test
7143984,0,0.024847932,test
7193164,0,0.037603296,test
7098655,1,0.985567,test
7151566,1,0.07750735,test
7160241,0,0.023467258,test
7183595,0,0.05168841,test
7142362,0,0.098728195,test
7173294,1,0.63631386,test
7135952,0,0.040984765,test
7181860,0,0.089920506,test
7116402,0,0.021274475,test
7119884,0,0.063819855,test
7143509,1,0.32855427,test
7150451,0,0.061198924,test
7170193,0,0.07150593,test
7146473,0,0.02049973,test
7184634,0,0.017709976,test
7170460,0,0.017594686,test
7117500,0,0.019017471,test
7136604,0,0.025974343,test
7143360,0,0.027557775,test
7132988,0,0.012152681,test
7177781,0,0.023727145,test
7156493,0,0.8413632,test
7173404,0,0.04683789,test
7164172,0,0.9410714,test
7144395,0,0.041889943,test
7192625,0,0.0317561,test
7157638,0,0.064497635,test
