fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
parity,0.851,0.915,0.827,0.832,0.919,0.824
eqOpp1,0.959,0.968,0.898,0.857,0.668,0.806
eqOpp0,0.964,0.948,0.977,0.979,0.937,0.937
eqOdd,0.961,0.958,0.937,0.918,0.803,0.872
p-accuracy,0.763,0.73,0.815,0.778,0.793,0.806
auc,0.779,0.762,0.821,0.752,0.851,0.752
bnsp,0.821,0.814,0.766,0.782,0.887,0.657
bpsn,0.764,0.766,0.847,0.78,0.747,0.879
posAEG,0.021,0.016,0.051,0.071,-0.166,0.097
negAEG,-0.018,-0.026,0.012,0.011,-0.031,0.032
