metrics,male,female,transgender,white,black,asian,Total
auc,0.856,0.856,0.826,0.767,0.774,0.889,0.92
accuracy,0.729,0.771,0.659,0.551,0.619,0.811,0.88
f1_score,0.488,0.484,0.5,0.547,0.589,0.438,0.512
precision,0.342,0.347,0.355,0.392,0.452,0.308,0.38
recall,0.853,0.797,0.846,0.904,0.846,0.762,0.785
false positive rate,0.294,0.233,0.388,0.6,0.489,0.184,0.111
bnsp_auc,0.946,0.93,0.933,0.961,0.942,0.928,
bpsn_auc,0.817,0.847,0.789,0.671,0.735,0.883,
posAEG,-0.036,-0.007,-0.031,-0.062,-0.031,0.011,
negAEG,-0.093,-0.062,-0.139,-0.247,-0.19,-0.036,
