metrics,male,female,transgender,white,black,asian,Total
auc,0.783,0.821,0.801,0.722,0.711,0.885,0.856
accuracy,0.742,0.794,0.791,0.671,0.716,0.853,0.862
f1_score,0.424,0.453,0.509,0.54,0.546,0.467,0.409
precision,0.321,0.352,0.483,0.465,0.565,0.359,0.311
recall,0.625,0.634,0.538,0.643,0.528,0.667,0.597
false positive rate,0.237,0.182,0.146,0.316,0.194,0.128,0.115
bnsp_auc,0.884,0.886,0.864,0.892,0.845,0.898,
bpsn_auc,0.745,0.783,0.786,0.668,0.738,0.839,
posAEG,-0.015,-0.02,0.029,-0.024,0.035,-0.035,
negAEG,-0.062,-0.034,-0.015,-0.102,-0.04,-0.006,
