fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
parity,0.864,0.948,0.847,0.846,0.909,0.841
eqOpp1,0.989,0.95,0.988,0.908,0.8,0.837
eqOpp0,0.976,0.922,0.979,0.956,0.956,0.934
eqOdd,0.982,0.936,0.984,0.932,0.878,0.885
p-accuracy,0.77,0.709,0.825,0.79,0.736,0.825
auc,0.72,0.745,0.851,0.776,0.845,0.837
bnsp,0.79,0.838,0.788,0.749,0.855,0.719
bpsn,0.726,0.697,0.842,0.81,0.764,0.874
posAEG,0.006,-0.025,-0.006,0.046,-0.1,0.082
negAEG,-0.012,-0.039,0.01,0.022,-0.022,0.033
